ID_TAREFA,PRIORIDADE,DIFICULDADE,HORAS_PROD_MED,NIVEL_FOCO_MED,ESTRESSE_MED,HORAS_DORMIDAS_MED,SATISFACAO_MED,CARGA_TRABALHO_MED,TEMPO_CONCLUSAO_DIAS,ATRASO
1,média,2.3,6.6,6.3,1.4,6.5,6.5,9.0,2.5,0
2,média,1.2,8.8,8.4,4.3,7.7,6.7,4.7,1.53,0
3,baixa,7.5,5.0,8.5,7.0,6.6,4.8,6.4,3.06,1
4,média,1.0,6.7,8.6,2.8,5.2,6.1,7.0,1.66,0
5,baixa,5.9,6.9,9.4,6.8,6.6,7.9,5.4,0.74,0
6,média,6.5,9.0,7.5,4.5,7.4,4.5,7.6,4.17,0
7,média,5.3,7.7,6.8,1.6,6.2,6.9,5.0,2.01,0
8,baixa,1.5,5.4,8.3,3.6,7.9,6.8,6.4,0.5,0
9,alta,5.3,5.2,5.4,5.1,7.3,7.7,5.2,2.18,0
10,baixa,7.5,6.7,7.5,4.5,6.7,7.7,5.0,2.46,0
11,baixa,9.4,8.8,6.6,4.9,6.8,9.0,6.0,2.53,0
12,média,3.3,3.5,5.6,3.1,7.2,6.0,6.7,0.97,0
13,baixa,4.0,6.1,8.7,9.0,6.9,6.5,5.5,1.58,1
14,alta,4.4,6.7,7.7,4.2,8.5,8.5,7.3,4.53,0
15,média,6.9,6.2,5.8,6.6,5.6,7.9,9.0,3.46,0
16,alta,7.2,8.8,8.2,4.4,6.0,9.3,4.8,4.45,0
17,média,1.1,5.1,7.6,3.7,7.0,7.0,6.2,1.02,1
18,média,8.3,7.7,10.0,6.8,9.0,4.8,7.3,1.45,1
19,média,8.2,9.0,7.4,4.3,6.4,4.3,8.7,3.65,0
20,baixa,3.0,6.0,8.4,7.5,6.8,8.9,4.6,0.93,1
21,média,3.9,5.3,7.5,4.4,7.8,6.6,4.0,1.22,0
22,média,8.2,5.8,9.1,1.9,7.5,8.6,6.3,4.14,0
23,média,3.8,7.2,7.0,5.0,6.8,7.8,6.4,1.63,0
24,média,4.5,8.2,8.8,3.6,8.6,7.5,9.0,0.5,0
25,média,5.7,5.4,8.1,4.2,7.7,5.4,5.7,5.13,1
26,média,7.9,4.9,8.9,4.6,7.4,8.9,5.1,3.87,0
27,baixa,8.7,7.2,8.8,6.8,7.0,6.2,5.3,2.55,0
28,média,4.8,5.3,7.5,5.7,7.5,8.6,5.5,3.27,0
29,baixa,8.4,6.2,7.4,3.6,5.5,6.0,8.5,2.61,0
30,baixa,7.0,4.0,7.1,3.6,7.8,5.3,7.4,0.92,0
31,média,6.7,5.5,9.5,7.7,7.1,8.1,7.2,3.25,0
32,baixa,8.3,5.7,7.3,4.7,8.7,8.5,6.9,2.52,0
33,baixa,4.7,5.0,7.8,6.5,6.8,6.6,7.4,0.72,0
34,média,1.8,9.0,8.3,4.6,7.0,6.5,5.4,0.5,0
35,média,1.9,4.5,6.5,5.9,7.3,5.8,6.1,2.59,0
36,média,7.8,9.0,7.8,3.7,8.0,9.5,4.0,5.01,1
37,baixa,4.4,6.1,7.2,5.7,8.1,8.3,4.7,1.79,0
38,média,5.0,5.5,6.6,3.1,6.9,7.5,5.6,2.22,0
39,baixa,6.5,9.0,8.1,1.0,8.7,5.8,5.8,2.06,0
40,média,1.7,8.4,8.0,3.1,7.2,10.0,7.0,1.71,0
41,baixa,1.4,5.4,7.7,6.9,5.6,8.3,6.0,0.5,1
42,baixa,8.3,6.1,8.7,3.1,5.2,7.9,6.9,2.46,0
43,baixa,8.7,6.9,6.8,6.6,7.6,5.8,5.4,2.6,1
44,alta,1.8,5.9,7.1,6.2,9.0,10.0,4.4,1.86,0
45,alta,4.4,4.1,7.1,6.5,6.5,6.4,4.7,3.69,1
46,média,9.7,3.7,9.0,6.0,7.0,10.0,6.0,5.03,1
47,média,2.3,7.5,6.6,7.0,8.5,9.1,6.9,1.45,0
48,média,3.6,6.9,6.7,5.8,7.6,4.1,8.1,2.32,0
49,média,7.7,7.7,4.3,4.2,6.9,7.8,4.7,6.87,0
50,baixa,6.2,6.0,7.9,5.0,5.5,5.1,7.8,1.32,0
51,alta,4.0,8.4,8.9,4.4,8.3,8.0,6.6,2.12,0
52,baixa,6.6,9.0,6.4,5.7,5.6,7.4,7.8,1.5,0
53,média,9.1,6.4,8.0,3.5,6.8,8.3,5.1,4.35,0
54,média,6.4,7.6,5.2,2.3,7.1,9.1,6.1,0.5,0
55,alta,5.1,4.7,7.5,2.5,7.8,8.6,6.1,2.25,0
56,média,6.6,9.0,6.4,1.0,6.3,5.7,5.1,2.78,0
57,média,9.8,7.6,8.8,5.5,5.0,4.9,7.8,4.33,1
58,baixa,1.6,4.2,8.5,6.4,7.7,7.0,8.4,0.5,0
59,baixa,3.7,8.4,6.7,5.9,8.7,9.1,5.4,0.95,0
60,baixa,9.1,8.5,7.7,4.8,7.1,7.4,4.3,1.75,1
61,média,5.5,6.2,7.0,7.6,7.9,5.1,5.8,3.57,1
62,baixa,6.9,5.9,6.6,6.3,7.0,7.9,6.7,1.64,0
63,média,5.5,5.3,7.5,1.0,5.4,7.7,8.8,2.47,0
64,média,8.2,6.2,8.1,4.6,5.9,4.7,6.3,4.67,0
65,média,5.8,9.0,9.0,2.8,5.8,3.0,4.9,2.71,0
66,baixa,3.2,5.1,8.0,4.3,6.1,5.3,4.0,0.5,0
67,alta,4.5,9.0,9.1,6.6,6.1,6.5,6.7,4.13,0
68,média,1.9,7.8,9.0,5.0,8.1,7.2,7.1,2.53,0
69,alta,9.0,9.0,6.7,5.8,6.2,6.8,7.0,5.29,1
70,baixa,9.2,6.5,8.5,2.3,5.0,7.9,5.7,1.57,0
71,média,6.0,7.7,8.7,2.9,7.1,6.8,6.6,3.68,0
72,média,8.7,9.0,8.6,5.4,7.1,7.7,7.8,4.12,0
73,média,2.0,8.0,7.4,3.7,8.1,8.8,4.6,3.46,0
74,baixa,5.7,7.9,5.8,1.0,6.2,5.4,4.5,2.24,0
75,alta,3.9,7.6,6.4,7.2,7.5,7.1,5.1,3.7,0
76,baixa,7.1,4.5,6.9,2.2,6.7,8.2,7.5,1.88,1
77,alta,9.1,9.0,7.3,6.5,6.2,8.0,6.7,5.52,1
78,média,2.3,9.0,5.7,3.3,7.9,7.4,5.9,1.12,0
79,média,7.8,7.7,9.1,4.7,7.7,8.5,7.2,3.43,1
80,média,5.5,6.8,8.2,3.9,8.2,7.5,8.9,0.5,0
81,alta,5.6,7.2,7.7,3.6,6.9,7.4,7.5,0.5,0
82,média,2.0,7.0,7.6,5.1,7.4,7.8,4.0,2.74,1
83,alta,8.0,7.8,9.1,3.1,8.8,7.0,8.9,3.4,0
84,alta,1.9,8.8,6.9,5.5,8.6,5.5,5.4,0.5,0
85,baixa,7.1,5.2,7.6,3.7,5.8,5.3,8.6,1.14,0
86,baixa,9.2,8.9,8.8,5.2,6.4,7.8,5.4,1.22,0
87,média,1.7,9.0,5.6,6.5,7.2,4.8,6.9,0.77,1
88,média,1.7,7.2,9.4,6.1,8.0,7.5,7.5,1.54,1
89,baixa,2.6,9.0,6.8,6.8,7.0,6.8,6.2,0.91,1
90,média,5.1,5.9,7.8,6.2,7.4,9.9,5.7,4.31,0
91,média,1.3,6.0,8.5,6.6,8.1,5.4,5.3,1.48,1
92,média,10.0,8.6,5.9,3.7,6.4,6.9,7.2,2.59,1
93,média,5.9,5.0,8.2,10.0,5.0,6.3,8.5,4.15,0
94,média,9.9,6.5,6.9,4.5,7.5,8.2,8.1,4.38,0
95,média,2.7,8.0,7.7,5.3,6.1,5.4,7.9,2.53,0
